Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
pendle-hill,2145,7244,20 to 39,PENDLE HILL,0.475,410.0,470.0,0.8055
pennant-hills,2120,7296,40 to 59,PENNANT HILLS,0.8165,450.0,650.0,1.34
penrith,2750,13300,20 to 39,PENRITH,0.4315,380.0,400.0,0.5725
penshurst,2222,12800,20 to 39,PENSHURST,0.56,420.0,600.0,1.12
perrys-crossing,2775,0,60+,PERRYS CROSSING,,,,
petersham,2049,8096,20 to 39,PETERSHAM,0.705,460.0,718.0,1.4335
phillip-bay,2036,702,40 to 59,PHILLIP BAY,,,,
picnic-point,2213,6148,40 to 59,PICNIC POINT,,570.0,635.0,0.995
pitt-town-bottoms,2756,107,40 to 59,PITT TOWN BOTTOMS,,,,
pitt-town,2756,3036,40 to 59,PITT TOWN,,,600.0,1.06
pleasure-point,2172,517,40 to 59,PLEASURE POINT,,,,
plumpton,2761,9193,20 to 39,PLUMPTON,,475.0,438.0,0.63
point-piper,2027,1424,60+,POINT PIPER,4.0,978.0,,
the-ponds,2769,11715,20 to 39,THE PONDS,,450.0,623.0,0.94
port-botany,2036,0,60+,PORT BOTANY,,,,
port-hacking,2229,0,,PORT HACKING,,,,
potts-hill,2143,876,20 to 39,POTTS HILL,,495.0,550.0,0.886862808848987
potts-point,2011,9421,20 to 39,POTTS POINT,0.7425,550.0,813.0,1.718585140169386
prairiewood,2176,3254,40 to 59,PRAIRIEWOOD,,,505.0,0.8
prestons,2170,15308,40 to 59,PRESTONS,,450.0,530.0,0.735
prospect,2148,4726,20 to 39,PROSPECT,0.47875,423.0,485.0,0.715
punchbowl,2196,20242,20 to 39,PUNCHBOWL,0.39,380.0,530.0,0.78
putney,2112,4105,40 to 59,PUTNEY,,595.0,970.0,2.1
pymble,2073,11040,40 to 59,PYMBLE,0.88,600.0,990.0,2.232
pyrmont,2009,12832,20 to 39,PYRMONT,0.9975,720.0,680.0,1.2979803110225683
quakers-hill,2763,27077,20 to 39,QUAKERS HILL,0.55,430.0,450.0,0.74625
queens-park,2022,3065,40 to 59,QUEENS PARK,,650.0,1250.0,2.7425
queenscliff,2096,3365,20 to 39,QUEENSCLIFF,0.9625,650.0,850.0,2.411
raby,2566,5936,20 to 39,RABY,,360.0,430.0,0.59
ramsgate-beach,2217,1661,60+,RAMSGATE BEACH,0.735,473.0,,
ramsgate,2217,1113,40 to 59,RAMSGATE,,510.0,650.0,1.2031070412902034
randwick,2031,29994,20 to 39,RANDWICK,0.885,595.0,1050.0,2.3375
redfern,2016,13231,20 to 39,REDFERN,0.95,630.0,750.0,1.33
regents-park,2143,4911,20 to 39,REGENTS PARK,0.4265,390.0,460.0,0.759
regentville,2745,810,40 to 59,REGENTVILLE,,,420.0,0.475745306675406
revesby-heights,2212,1662,40 to 59,REVESBY HEIGHTS,,,660.0,0.8995
revesby,2212,14189,20 to 39,REVESBY,0.7,460.0,600.0,0.9025
rhodes,2138,11920,20 to 39,RHODES,0.8465,620.0,605.0,3.6995
richmond-lowlands,2753,32,40 to 59,RICHMOND LOWLANDS,,,,
richmond,2753,5499,20 to 39,RICHMOND,0.445,350.0,400.0,0.585
riverstone,2765,7238,20 to 39,RIVERSTONE,,350.0,500.0,0.72
riverview,2066,3340,5 to 19,RIVERVIEW,,,970.0,2.34
riverwood,2210,12104,20 to 39,RIVERWOOD,0.568,470.0,520.0,0.869
rockdale,2216,15521,20 to 39,ROCKDALE,0.61,500.0,610.0,1.075
rodd-point,2046,1405,40 to 59,RODD POINT,,,825.0,1.756534448062332
rookwood,2141,0,60+,ROOKWOOD,,,,
rooty-hill,2766,14705,20 to 39,ROOTY HILL,0.5315,430.0,430.0,0.63
ropes-crossing,2760,6172,20 to 39,ROPES CROSSING,,456.0,480.0,0.629
rose-bay,2029,10040,20 to 39,ROSE BAY,1.1,650.0,1700.0,3.275
rosebery,2018,10119,20 to 39,ROSEBERY,0.8275,650.0,840.0,1.645
rosehill,2142,3795,20 to 39,ROSEHILL,0.455,410.0,480.0,0.6654918461401358
roselands,2196,11589,20 to 39,ROSELANDS,0.4445,390.0,550.0,0.902
rosemeadow,2560,7835,20 to 39,ROSEMEADOW,0.435,320.0,393.0,0.53
roseville-chase,2069,1610,40 to 59,ROSEVILLE CHASE,,,1050.0,2.11
roseville,2069,10088,40 to 59,ROSEVILLE,0.88875,610.0,1000.0,2.42
rossmore,2557,2293,40 to 59,ROSSMORE,,,565.0,0.9342994437151696
rouse-hill,2155,7971,40 to 59,ROUSE HILL,0.7975,480.0,600.0,0.955
rozelle,2039,8720,20 to 39,ROZELLE,1.2975,600.0,800.0,1.57
ruse,2560,5585,20 to 39,RUSE,,,420.0,0.575
rushcutters-bay,2011,2545,20 to 39,RUSHCUTTERS BAY,0.8,580.0,,
russell-lea,2046,4999,40 to 59,RUSSELL LEA,0.775,500.0,840.0,1.7685
rydalmere,2116,6657,40 to 59,RYDALMERE,0.64,420.0,493.0,1.015
ryde,2112,26507,20 to 39,RYDE,0.6325,500.0,650.0,1.35
sackville-north,2756,316,40 to 59,SACKVILLE NORTH,,,,
sackville,2756,294,40 to 59,SACKVILLE,,,,
sadleir,2168,3137,5 to 19,SADLEIR,,,390.0,0.565
st-andrews,2566,5733,20 to 39,ST ANDREWS,,,420.0,0.5825
st-clair,2759,19894,20 to 39,ST CLAIR,,300.0,440.0,0.66
st-helens-park,2560,6609,20 to 39,ST HELENS PARK,,330.0,390.0,0.56
st-ives-chase,2075,3163,40 to 59,ST IVES CHASE,,,822.9337336804881,1.75
st-ives,2075,17295,40 to 59,ST IVES,0.89,620.0,1000.0,1.8975
st-johns-park,2176,6120,60+,ST JOHNS PARK,,383.0,460.0,0.76
st-leonards,2065,5488,20 to 39,ST LEONARDS,0.865,640.0,840.0,1.803971082928514
st-marys,2760,12197,20 to 39,ST MARYS,0.434,350.0,360.0,0.57
st-peters,2044,3143,20 to 39,ST PETERS,0.878,645.0,760.0,1.101
sandringham,2219,1236,40 to 59,SANDRINGHAM,,500.0,685.0,1.815
sandy-point,2172,591,40 to 59,SANDY POINT,,,,
sans-souci,2219,10296,40 to 59,SANS SOUCI,0.7227,495.0,690.0,1.395
scheyville,2756,3,40 to 59,SCHEYVILLE,,,,
schofields,2762,4977,20 to 39,SCHOFIELDS,,483.0,550.0,0.76
scotland-island,2105,582,40 to 59,SCOTLAND ISLAND,,,579.7672436345574,0.981
seaforth,2092,7133,40 to 59,SEAFORTH,1.4125,695.0,1395.0,2.48
sefton,2162,5812,20 to 39,SEFTON,0.632,410.0,500.0,0.775
seven-hills,2147,19308,20 to 39,SEVEN HILLS,0.58,400.0,420.0,0.7
shalvey,2770,3462,20 to 39,SHALVEY,,,350.0,0.4755
shanes-park,2747,404,40 to 59,SHANES PARK,,,,
silverwater,2128,4159,20 to 39,SILVERWATER,0.595,415.0,445.0,0.5548063647857101
singletons-mill,2775,3,20 to 39,SINGLETONS MILL,,,,
the-slopes,2754,344,40 to 59,THE SLOPES,,,,
smeaton-grange,2567,8,20 to 39,SMEATON GRANGE,,,,
